"","employees","salaries_2017","salaries_2018","change","got_raise"
"52","Employee 52",44494.0234464593,47824.5903318748,3330.56688541546,TRUE
"53","Employee 53",46335.8402112499,50116.079968866,3780.23975761607,TRUE
"54","Employee 54",48318.2937954552,52151.6948065255,3833.40101107024,TRUE
"55","Employee 55",43690.1415186003,44583.8229323272,893.681413726881,TRUE
"56","Employee 56",42393.0217837915,46082.9697351437,3689.94795135222,TRUE
"57","Employee 57",46731.1581177637,46733.7003583089,2.54224054515362,TRUE
"58","Employee 58",45995.0873395428,45156.8292709999,-838.258068542928,FALSE
"59","Employee 59",43861.2617948093,39347.6930947509,-4513.56870005839,FALSE
"60","Employee 60",48324.7815398499,47991.7208501138,-333.060689736158,FALSE
"61","Employee 61",45784.8009513691,50474.9050538521,4690.10410248302,TRUE
"62","Employee 62",49747.5102753378,49960.9596049413,213.449329603463,TRUE
"63","Employee 63",47136.42105693,51652.8578847647,4516.4368278347,TRUE
"64","Employee 64",42593.9326174557,39596.7860054225,-2997.14661203325,FALSE
"65","Employee 65",44371.9376763329,49439.450079808,5067.51240347512,TRUE
"66","Employee 66",48749.3638065644,53334.4319788739,4585.06817230955,TRUE
"67","Employee 67",41848.8131230697,44172.037311364,2323.22418829426,TRUE
"68","Employee 68",43844.9885114096,51535.2129912935,7690.22447988391,TRUE
"69","Employee 69",43174.6704922989,52278.4020553809,9103.73156308196,TRUE
"70","Employee 70",41116.9472197071,39700.103844516,-1416.84337519109,FALSE
"71","Employee 71",45223.9848906174,54274.5820013806,9050.59711076319,TRUE
"72","Employee 72",46567.036062479,44729.064470157,-1837.97159232199,FALSE
"73","Employee 73",40654.401506763,42072.8268835228,1418.42537675984,TRUE
"74","Employee 74",44213.3781500161,41764.6659759339,-2448.71217408217,FALSE
"75","Employee 75",46465.8694551326,48795.9046242759,2330.03516914323,TRUE
"76","Employee 76",48168.4850901365,47024.1603534669,-1144.32473666966,FALSE
"77","Employee 77",42755.9713320807,38090.1113757864,-4665.8599562943,FALSE
"78","Employee 78",42395.4648873769,40282.7033319045,-2112.76155547239,FALSE
"79","Employee 79",40299.2458222434,42066.7467045132,1767.50088226981,TRUE
"80","Employee 80",49240.9715312533,58895.7751530688,9654.80362181552,TRUE
"81","Employee 81",41321.0176350549,45221.3280193973,3900.31038434245,TRUE
"82","Employee 82",42790.2775141411,48147.7889139205,5357.51139977947,TRUE
"83","Employee 83",40810.6072898954,39480.009971885,-1330.5973180104,FALSE
"84","Employee 84",41683.993707411,38329.6374452766,-3354.35626213439,FALSE
"85","Employee 85",42432.6888052747,40147.2780830227,-2285.41072225198,FALSE
"86","Employee 86",40776.3230823912,44728.2577131409,3951.93463074975,TRUE
"87","Employee 87",43241.1408005282,50539.0440719202,7297.90327139199,TRUE
"88","Employee 88",45848.6566692591,48325.9898691904,2477.33319993131,TRUE
"89","Employee 89",41672.6855072193,46805.9361784253,5133.25067120604,TRUE
"90","Employee 90",43490.3387282975,38887.2723618988,-4603.06636639871,FALSE
"91","Employee 91",49513.3342011832,45252.0970383193,-4261.23716286384,FALSE
"92","Employee 92",48861.3469270058,49618.5770095326,757.230082526803,TRUE
"93","Employee 93",47553.6595843732,51716.4450266864,4162.78544231318,TRUE
"94","Employee 94",41737.7617489547,38711.9879410602,-3025.77380789444,FALSE
"95","Employee 95",40352.8501349501,35517.1745910775,-4835.67554387264,FALSE
"96","Employee 96",45971.7918210663,45827.5158947799,-144.275926286355,FALSE
"97","Employee 97",47292.3761000857,51960.7320555951,4668.35595550947,TRUE
"98","Employee 98",46357.0245937444,41907.2324957233,-4449.79209802113,FALSE
"99","Employee 99",41685.1876303554,41834.7658694256,149.578239070252,TRUE
"100","Employee 100",45153.0110556632,44228.6416410934,-924.36941456981,FALSE
